City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Yining,CN,29.0361,114.5636,80.11,61,97,2.95,overcast clouds
329,Balikpapan,ID,-1.2675,116.8289,83.39,84,40,9.22,scattered clouds
330,Ati,TD,13.2154,18.3353,82.08,14,48,5.35,scattered clouds
331,Tumut,AU,-35.3,148.2167,49.19,39,0,4.92,clear sky
332,Zheleznodorozhnyy,RU,55.7503,38.0042,61.36,81,100,4.14,light rain
333,Mnogovershinnyy,RU,53.9353,139.9242,56.19,43,77,4.85,broken clouds
334,Liepaja,LV,56.5419,21.0367,44.58,100,90,1.14,overcast clouds
335,Beringovskiy,RU,63.05,179.3167,33.6,82,14,13.27,few clouds
336,Smirnykh,RU,49.75,142.8333,42.66,95,100,5.48,overcast clouds
337,Manaure,CO,11.7751,-72.4445,80.47,78,100,16.62,overcast clouds
338,Makakilo City,US,21.3469,-158.0858,84.52,55,20,14.97,few clouds
339,Paidha,UG,2.4167,30.9855,60.35,89,87,4.56,overcast clouds
340,Tocopilla,CL,-22.092,-70.1979,66.11,73,52,2.84,broken clouds
341,Ucluelet,CA,48.9329,-125.5528,60.04,80,54,1.99,broken clouds
